index,price,yearCreation,is_numbered,condition_score,movement_clean
0,28500,2021,0,3,Other
1,3000,1925,0,1,Surrealism
2,5000,2016,0,3,Abstract
3,5000,2010,0,3,Abstract
4,2500,2001,0,3,Abstract
5,7575,1977,1,3,Abstract Expressionism
6,7550,2007,1,3,Other
7,3550,1993,1,2,Other
8,3075,2014,1,3,Minimalism
9,3550,1993,1,3,Other
10,3075,2014,1,3,Minimalism
11,40000,1973,0,3,Abstract
12,15000,1989,0,2,Other
13,7000,2008,0,3,Other
14,4000,2015,0,3,Other
15,4000,2015,0,3,Other
16,5000,2012,0,3,Minimalism
17,8000,2002,0,3,Minimalism
18,5500,2008,0,3,Surrealism
19,2500,2002,0,3,Realism
20,7000,1992,0,3,Abstract Expressionism
21,6000,2015,0,3,Abstract
22,7000,1993,0,3,Other
23,7000,2020,0,3,Conceptual 
24,8000,2015,0,3,Other
25,6500,1998,0,3,Conceptual 
26,10000,2014,0,3,Other
27,10000,1991,0,3,Conceptual 
28,8500,2014,0,3,Abstract
29,4000,2015,0,3,Other
30,2800,2018,0,3,Abstract
31,12000,1920,0,2,Realism
32,2000,2008,0,1,Realism
33,5000,1950,0,3,Other
34,3000,1950,0,3,Impressionism
35,5000,1950,0,3,Impressionism
36,15000,2016,1,3,Realism
37,6000,1975,0,1,Realism
38,2500,1975,0,1,Realism
39,900,1975,0,1,Realism
40,800,1975,0,1,Realism
41,700,2003,0,1,Realism
42,1200,1975,0,1,Realism
43,700,1975,0,1,Realism
44,7000,1975,0,1,Realism
45,5000,1975,0,1,Realism
46,3000,2000,0,1,Realism
47,3000,1975,0,1,Realism
48,1200,2010,0,1,Realism
49,5000,1975,0,1,Realism
50,1000,2005,0,1,Realism
51,700,1975,0,1,Realism
52,800,2002,0,1,Realism
53,5000,2001,0,1,Realism
54,5000,1975,0,1,Realism
55,5000,1975,0,1,Realism
56,1200,1975,0,1,Realism
57,30000,1999,0,1,Realism
58,6000,2000,0,1,Realism
59,2500,1975,0,2,Realism
60,5500,1958,0,1,Expressionism
61,34000,1850,0,2,Realism
62,5000,1974,0,1,Other
63,12000,1877,0,2,Realism
64,20000,1877,0,2,Realism
65,7150,1850,0,1,Realism
66,10000,1850,0,1,Realism
67,2250,2004,1,3,Pop Art
68,3000,2014,1,3,Pop Art
69,2250,2004,1,3,Pop Art
70,3000,2013,1,3,Pop Art
71,2250,2006,1,3,Pop Art
72,14000,2016,0,3,Other
73,70000,1990,1,3,Pop Art
74,1895,1925,0,1,Impressionism
75,3250,1935,0,1,Expressionism
76,7500,1928,0,1,Impressionism
77,2500,2021,0,3,Abstract
78,2500,2021,1,3,Abstract
79,2500,2021,1,3,Abstract
80,2500,2022,1,3,Abstract
81,7000,1961,0,3,Realism
82,12000,1990,1,3,Conceptual 
83,10000,1990,1,3,Conceptual 
84,2500,1994,1,3,Conceptual 
85,900,1991,1,3,Other
86,900,1991,1,3,Other
87,12000,1990,1,3,Conceptual 
88,12000,1990,1,3,Conceptual 
89,800,1991,1,3,Other
90,18000,1989,1,3,Other
91,1500,1992,1,3,Other
92,800,1991,1,3,Other
93,10000,1990,1,3,Conceptual 
94,42500,1990,1,3,Conceptual 
95,42500,1990,1,3,Conceptual 
96,27500,1990,1,3,Pop Art
97,7000,1996,1,3,Surrealism
98,7000,1994,1,3,Other
99,18000,1994,1,3,Other
100,5000,1996,1,3,Abstract Expressionism
101,8000,2017,0,3,Pop Art
102,10000,2010,1,3,Conceptual 
103,24000,2019,0,3,Surrealism
104,8500,2011,1,3,Abstract
105,18000,2018,0,3,Pop Art
106,22500,2014,0,2,Realism
107,42000,2016,0,2,Realism
108,28500,2014,0,2,Realism
109,8500,2016,1,3,Pop Art
110,1800,1948,0,1,Realism
111,6000,1996,0,3,Abstract
112,6000,1989,0,3,Pop Art
113,6000,1971,0,1,Expressionism
114,3000,1960,0,1,Expressionism
115,6500,1972,0,1,Expressionism
116,6000,1972,0,1,Expressionism
117,6000,1990,0,1,Expressionism
118,6000,1984,0,1,Expressionism
119,2000,1980,0,1,Expressionism
120,4000,1984,0,1,Expressionism
121,3000,1972,0,1,Expressionism
122,5000,1981,0,1,Surrealism
123,3000,1972,0,1,Abstract
124,6000,1971,0,1,Expressionism
125,6000,1990,0,1,Expressionism
126,6000,1971,0,1,Expressionism
127,3000,1984,0,1,Abstract
128,5995,1975,0,1,Realism
129,5995,1975,0,1,Realism
130,14000,2016,0,3,Other
131,14000,2016,0,3,Other
132,2000,1973,0,1,Abstract
133,2000,1976,0,1,Abstract
134,2000,1973,0,1,Abstract
135,2000,1973,0,1,Abstract
136,2000,1973,0,1,Abstract
137,2000,1973,0,1,Abstract
138,3500,1960,0,1,Surrealism
139,3000,1950,0,1,Realism
140,5000,1896,0,1,Realism
141,9500,2012,1,1,Pop Art
142,2200,2018,0,3,Conceptual 
143,4000,2011,0,3,Other
144,2500,2018,0,3,Geometric Abstraction
145,5500,1992,0,3,Conceptual 
146,2500,2006,0,3,Abstract
147,15000,1973,0,3,Other
148,135000,1975,0,3,Other
149,15000,2015,0,3,Conceptual 
150,50000,2000,0,3,Pop Art
151,4500,1971,1,3,Conceptual 
152,9500,2012,1,3,Pop Art
153,9500,2012,1,3,Pop Art
154,5000,2006,0,1,Abstract
155,3000,1992,1,1,Expressionism
156,3000,1993,1,1,Pop Art
157,3000,1992,1,1,Pop Art
158,3000,1992,1,1,Minimalism
159,5000,2006,0,1,Abstract
160,9500,2012,1,3,Pop Art
161,9500,2012,1,3,Pop Art
162,3000,1992,1,1,Pop Art
163,5000,2006,0,1,Abstract
164,3000,1994,1,1,Pop Art
165,9500,2012,1,1,Pop Art
166,3000,1994,1,1,Pop Art
167,5000,2006,0,1,Abstract
168,9500,2012,1,1,Pop Art
169,5000,2006,0,1,Abstract
170,3000,1994,1,1,Pop Art
171,2000,1968,0,3,Pop Art
172,3000,1977,1,3,Pop Art
173,5000,1970,0,3,Pop Art
174,1500,1969,0,3,Pop Art
175,4000,1975,0,3,Pop Art
176,6000,1998,1,3,Pop Art
177,4000,1968,0,3,Pop Art
178,3000,1977,1,3,Pop Art
179,6000,2000,0,2,Realism
180,10000,2021,0,3,Expressionism
181,12500,2018,0,3,Other
182,4375,2020,0,3,Expressionism
183,4375,2020,0,3,Expressionism
184,4375,2020,0,3,Expressionism
