,title,artist,price,size,painting type,url,path,material,style,area,original
0,"Flowers, Paintings",Elena Hromova,2530,39.4 x 39.4 in,Print of Art Deco Botanic Paintings,https://www.saatchiart.com/saatchi-images/saatchi/2165285/art/10956387/10018797-CDEMIKJZ-7.jpg,saatchi_art_images/1.jpg.jpg,Acrylic on Canvas,Art Deco Botanic,1552.36,0
1,"Tranquil Sanctuary Ii, Paintings",Alissa Kim Tjen,1455,36 x 24 in,Print of Abstract Landscape Paintings,https://www.saatchiart.com/saatchi-images/saatchi/725789/art/12499063/11561253-KJCREDYI-7.jpg,saatchi_art_images/2.jpg.jpg,Acrylic on Canvas,Abstract Landscape,864.0,0
2,"Highest Good, Paintings",Adam Collier Noel,5550,36 x 48 in,Original Abstract Typography Paintings,https://www.saatchiart.com/saatchi-images/saatchi/425902/art/11197009/10259279-UVOBPNOS-7.jpg,saatchi_art_images/3.jpg.jpg,Acrylic on Canvas,Abstract Typography,1728.0,1
3,"Mirror Series Untitled Portrait, Paintings",Tomoya Nakano,3287,21.2 x 29.5 in,Original Abstract Women Paintings,https://www.saatchiart.com/saatchi-images/saatchi/805291/art/10469015/9531507-LHRMYNGM-7.jpg,saatchi_art_images/4.jpg.jpg,Oil on Paper,Abstract Women,625.4,1
4,"Barcelona 2022, Paintings",David  Farrés Calvo,1315,36.2 x 23.6 in,Original Fine Art Cities Paintings,https://www.saatchiart.com/saatchi-images/saatchi/685447/art/9081865/8145043-OYSKORJU-7.jpg,saatchi_art_images/5.jpg.jpg,Oil on Canvas,Fine Art Cities,854.3200000000002,1
5,"The Cheeseburger Deluxe, Paintings",Matthew Haghighi,3735,24 x 36 in,Original Realism Food Paintings,https://www.saatchiart.com/saatchi-images/saatchi/2380599/art/11307299/10369565-PJGQPALB-7.jpg,saatchi_art_images/6.jpg.jpg,Acrylic on Canvas,Realism Food,864.0,1
6,"Thrasher Magazine - Tony Hawk Bones, Paintings",Matthew Haghighi,2685,24 x 30 in,Original Pop Art Pop Culture/Celebrity Paintings,https://images.saatchiart.com/saatchi/2380599/art/11317071/10379337-KZRUFDVR-7.jpg,saatchi_art_images/7.jpg.jpg,Acrylic on Canvas,Pop Art Pop Culture/Celebrity,720.0,1
7,"Mad Girl'S Love Song, Paintings",Amber Penney,1950,24 x 24 in,Original Abstract Expressionism Language Paintings,https://images.saatchiart.com/saatchi/1081013/art/11450643/10512897-WHHQPDXZ-7.jpg,saatchi_art_images/8.jpg.jpg,Acrylic on Canvas,Abstract Expressionism Language,576.0,1
8,"Symphony Of Dreams, Paintings",Katarina Branisova,1518,19.7 x 27.6 in,Original Contemporary Women Paintings,https://images.saatchiart.com/saatchi/2197603/art/11499427/10561681-RSPAGMAZ-7.jpg,saatchi_art_images/9.jpg.jpg,Acrylic on Canvas,Contemporary Women,543.72,1
9,"Untitled 2023, Paintings",Mary Ann Wakeley,1300,19 x 24 in,Original Contemporary Abstract Paintings,https://images.saatchiart.com/saatchi/338418/art/11086287/10148567-AEEWPISG-7.jpg,saatchi_art_images/10.jpg.jpg,Acrylic on Paper,Contemporary Abstract,456.0,1
